"","","mpn","name","status","type","wifi","bluetooth","threadZigbee","operatingTemp","gpio","flash","sram","rom","psram","freq","dimensions","spq","moq","preFirmware","idfSupports","voltageRange"
"FALSE","61","ESP32-S2-MINI-1-N4R2","ESP32-S2-MINI-1(integrates PSRAM)","NRND","Module","IEEE 802.11b/g/n; 2.4 GHz; HT20/40; up to 150 Mbps","N/A","N/A","-40 ~ 85","37","4, Quad","320","128","2, Quad","240","15.4*20*2.4","650","3250","NO","-","3.0 ~ 3.6"
"FALSE","62","ESP32-S2-MINI-1U-N4","ESP32-S2-MINI-1U","NRND","Module","IEEE 802.11b/g/n; 2.4 GHz; HT20/40; up to 150 Mbps","N/A","N/A","-40 ~ 85","37","4, Quad","320","128","0, Quad","240","15.4*15.4*2.4","650","3250","NO","-","3.0 ~ 3.6"
"FALSE","63","ESP32-S2-MINI-1U-H4","ESP32-S2-MINI-1U_High Temp Version","EOL","Module","IEEE 802.11b/g/n; 2.4 GHz; HT20/40; up to 150 Mbps","N/A","N/A","-40 ~ 105","37","4, Quad","320","128","0, Quad","240","15.4*15.4*2.4","650","3250","NO","-","3.0 ~ 3.6"
"FALSE","64","ESP32-S2-MINI-1U-N4R2","ESP32-S2-MINI-1U(integrates PSRAM)","EOL","Module","IEEE 802.11b/g/n; 2.4 GHz; HT20/40; up to 150 Mbps","N/A","N/A","-40 ~ 85","37","4, Quad","320","128","2, Quad","240","15.4*15.4*2.4","650","3250","NO","-","3.0 ~ 3.6"
"FALSE","65","ESP32-S2-SOLO-N4","ESP32-S2-SOLO","EOL","Module","IEEE 802.11b/g/n; 2.4 GHz; HT20/40; up to 150 Mbps","N/A","N/A","-40 ~ 85","36","4, Quad","320","128","0, Quad","240","18*25.5*3.1","650","3250","NO","-","3.0 ~ 3.6"
"FALSE","66","ESP32-S2-SOLO-N8","ESP32-S2-SOLO","EOL","Module","IEEE 802.11b/g/n; 2.4 GHz; HT20/40; up to 150 Mbps","N/A","N/A","-40 ~ 85","36","8, Quad","320","128","0, Quad","240","18*25.5*3.1","650","3250","NO","-","3.0 ~ 3.6"
"FALSE","67","ESP32-S2-SOLO-N16","ESP32-S2-SOLO","EOL","Module","IEEE 802.11b/g/n; 2.4 GHz; HT20/40; up to 150 Mbps","N/A","N/A","-40 ~ 85","36","16, Quad","320","128","0, Quad","240","18*25.5*3.1","650","3250","NO","-","3.0 ~ 3.6"
"FALSE","68","ESP32-S2-SOLO-H4","ESP32-S2-SOLO_High Temp Version","EOL","Module","IEEE 802.11b/g/n; 2.4 GHz; HT20/40; up to 150 Mbps","N/A","N/A","-40 ~ 105","36","4, Quad","320","128","0, Quad","240","18*25.5*3.1","650","3250","NO","-","3.0 ~ 3.6"
"FALSE","69","ESP32-S2-SOLO-N4R2","ESP32-S2-SOLO(integrates PSRAM)","EOL","Module","IEEE 802.11b/g/n; 2.4 GHz; HT20/40; up to 150 Mbps","N/A","N/A","-40 ~ 85","36","4, Quad","320","128","2, Quad","240","18*25.5*3.1","650","3250","NO","-","3.0 ~ 3.6"
"FALSE","70","ESP32-S2-SOLO-U-N4","ESP32-S2-SOLO-U","EOL","Module","IEEE 802.11b/g/n; 2.4 GHz; HT20/40; up to 150 Mbps","N/A","N/A","-40 ~ 85","36","4, Quad","320","128","0, Quad","240","18*19.2*3.2","650","3250","NO","-","3.0 ~ 3.6"
"FALSE","71","ESP32-S2-SOLO-U-N8","ESP32-S2-SOLO-U","EOL","Module","IEEE 802.11b/g/n; 2.4 GHz; HT20/40; up to 150 Mbps","N/A","N/A","-40 ~ 85","36","8, Quad","320","128","0, Quad","240","18*19.2*3.2","650","3250","NO","-","3.0 ~ 3.6"
